capture-server listening on http://127.0.0.1:8931
[capture] "POST /save?file=L48-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L49-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L49-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L50-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L50-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L51-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L51-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L52-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L52-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L53-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L53-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L54-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L54-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L55-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L55-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L56-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L56-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L57-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L57-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L58-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L58-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L59-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L59-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L60-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L60-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L61-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L61-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L62-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L62-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L63-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L63-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L64-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L64-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L65-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L65-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L66-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L66-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L67-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L67-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L68-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L68-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L69-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L69-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L70-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L70-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L71-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L71-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L72-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L72-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L73-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L73-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L74-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L74-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L75-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L75-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L76-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L76-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L77-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L77-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L78-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L78-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L79-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L79-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L80-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L80-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L81-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L81-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L82-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L82-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L83-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L83-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L84-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L84-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L85-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L85-raw.json HTTP/1.1" 200 -
[capture] "GET /status HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L01-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L01-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L03-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L03-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L02-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L02-raw.json HTTP/1.1" 200 -
[capture] "GET / HTTP/1.1" 404 -
[capture] "GET /index.html HTTP/1.1" 404 -
